'Keema Naan', 'Kulcha Naan', 'Plain Rice', 'Peshwari Naan', 'Bombay Aloo', 'Aloo Gobi', 'Chicken Tikka Jalfrezi',,,,,,,,,,,,,,,,,,,,,,
'Mango Chutney', 'Onion Chutney', 'Mint Sauce', 'Lime Pickle', 'Plain Papadum', 'Lemon Rice', 'Tandoori Chicken', 'Bombay Aloo', 'Curry', 'Tandoori Fish Karahi',,,,,,,,,,,,,,,,,,,
'Keema Naan', 'Mushroom Rice', 'Saag Paneer', 'Butter Chicken', 'Chicken Balti',,,,,,,,,,,,,,,,,,,,,,,,
'Chapati', 'Vegetable Curry', 'Madras',,,,,,,,,,,,,,,,,,,,,,,,,,
'Mixed Raita', 'Tandoori Chicken', 'Lamb Chilli Masala', 'Lamb Balti',,,,,,,,,,,,,,,,,,,,,,,,,
'Pilau Rice', 'Vegetable Curry', 'Madras', 'Chicken Tikka (Main)', 'Chicken Tikka Masala',,,,,,,,,,,,,,,,,,,,,,,,
'Chapati', 'Peshwari Naan', 'Aloo Gobi', 'Rogon', 'Chicken Biryani',,,,,,,,,,,,,,,,,,,,,,,,
'Naan', 'Bombay Aloo', 'Curry', 'Madras',,,,,,,,,,,,,,,,,,,,,,,,,
'Mango Chutney', 'Red Sauce', 'Plain Papadum', 'Plain Rice', 'Special Fried Rice', 'Chicken Tikka Masala', 'Chicken Chilli Masala', 'Chicken Tikka Jalfrezi', 'Methi',,,,,,,,,,,,,,,,,,,,
'Dahi', 'Pilau Rice', 'Peshwari Naan', 'Kulcha Naan', 'Vegetable Rice', 'Bombay Aloo', 'Madras', 'Chicken Chilli Masala',,,,,,,,,,,,,,,,,,,,,
'Tandoori Roti', 'Coke 1.5 ltr', 'Pilau Rice', 'Tandoori Chicken', 'Vegetable Curry', 'Methi',,,,,,,,,,,,,,,,,,,,,,,
'Plain Papadum', 'Chapati', 'Naan', 'Pilau Rice', 'French Fries', 'Curry', 'Kurma',,,,,,,,,,,,,,,,,,,,,,
'Mango Chutney', 'Onion Chutney', 'Mint Sauce', 'Red Sauce', 'Plain Papadum', 'Naan', 'Pilau Rice', 'Keema Naan', 'Peshwari Naan', 'Mini Bhaji', 'Kurma', 'Chicken Tikka Masala',,,,,,,,,,,,,,,,,
'Pilau Rice', 'Vegetable Rice', 'Special Fried Rice', 'Garlic Chicken', 'Chicken Royal', 'Kurma',,,,,,,,,,,,,,,,,,,,,,,
'Pilau Rice', 'Mushroom Rice', 'Bhuna', 'Chicken Tikka Masala', 'Rogon', 'Lamb Tikka Jalfrezi',,,,,,,,,,,,,,,,,,,,,,,
